date,bankroll,bet_size,profit,bet_on,odds_taken,predicted_prob,daily_return
2007-01-17,0.19013138062275522,0.051854012897115054,-0.051854012897115054,Bovina E.,8.0,0.5,-0.2142857142857143
2007-01-17,0.17193979790884964,0.018191582713905596,-0.018191582713905596,Zahlavova S.,2.62,0.5,-0.095679012345679
2007-01-17,0.1762382928565709,0.003907722679746586,0.004298494947721245,Loit E.,2.1,0.5,0.025000000000000133
2007-01-17,0.1454098227097383,0.030828470146832595,-0.030828470146832595,Cornet A.,4.33,0.5,-0.17492492492492495
2007-01-17,0.11390436112262833,0.03150546158710996,-0.03150546158710996,Ruano Pascual V.,8.5,0.5,-0.21666666666666667
2007-01-17,0.08827587987003696,0.025628481252591376,-0.025628481252591376,Adamczak M.,11.0,0.5,-0.22499999999999998
2007-01-17,0.1103448498375462,0.01103448498375462,0.02206896996750924,Camerin M.E.,3.0,0.5,0.25
2007-01-17,0.12413795606723947,0.009195404153128849,0.013793106229693274,Azarenka V.,2.5,0.5,0.125
2007-01-17,0.11083746077432095,0.013300495292918515,-0.013300495292918515,Vakulenko J.,2.75,0.5,-0.1071428571428572
2007-01-17,0.08866996861945677,0.02216749215486419,-0.02216749215486419,Muller M.,6.0,0.5,-0.19999999999999996
2007-01-17,0.07053292958365878,0.018137039035797976,-0.018137039035797976,Dulko G.,6.5,0.5,-0.2045454545454547
2007-01-17,0.056818193275725126,0.013714736307933652,-0.013714736307933652,Tu M.,5.5,0.5,-0.19444444444444453
2007-01-17,0.06392046743519077,0.00473484943964376,0.00710227415946564,Safarova L.,2.5,0.5,0.125
2007-01-17,0.06551847912107053,0.0014527378962543368,0.0015980116858797706,Birnerova E.,2.1,0.5,0.02499999999999991
2007-01-17,0.08599300384640507,0.009099788766815352,0.020474524725334543,Yakimova A.,3.25,0.5,0.3125
2007-01-17,0.06840352578691312,0.017589478059491948,-0.017589478059491948,Ondraskova Z.,6.5,0.5,-0.20454545454545459
2007-01-17,0.05374562740400317,0.014657898382909955,-0.014657898382909955,Kremer A.,8.0,0.5,-0.2142857142857143
2007-01-17,0.04798716732500283,0.005758460079000339,-0.005758460079000339,Benesova I.,2.75,0.5,-0.1071428571428572
2007-01-17,0.03758994773791888,0.010397219587083947,-0.010397219587083947,Sequera M.,8.5,0.5,-0.21666666666666679
2007-01-17,0.029638228024128348,0.007951719713790531,-0.007951719713790531,Poutchkova O.,7.5,0.5,-0.21153846153846145
2007-01-18,0.022902267109553724,0.006735960914574624,-0.006735960914574624,Kudryavtseva A.,12.0,0.5,-0.2272727272727273
2007-01-18,0.02645211851153455,0.0021912662975190293,0.0035498514019808277,Nakamura A.,2.62,0.5,0.15500000000000003
2007-01-18,0.02248430073480437,0.003967817776730182,-0.003967817776730182,Paszek T.,3.5,0.5,-0.15000000000000002
2007-01-18,0.01936148118830376,0.003122819546500607,-0.003122819546500607,Voracova R.,3.25,0.5,-0.13888888888888895
2007-01-18,0.015731203465496807,0.0036302777228069552,-0.0036302777228069552,Granville L.,5.0,0.5,-0.1875
2007-01-18,0.012155929950611169,0.003575273514885638,-0.003575273514885638,Morigami A.,12.0,0.5,-0.2272727272727273
2007-01-18,0.010467606346359617,0.0016883236042515514,-0.0016883236042515514,Loit E.,3.25,0.5,-0.13888888888888895
2007-01-18,0.010990986663677598,0.00043615026443165106,0.0005233803173179814,Harkleroad A.,2.2,0.5,0.050000000000000044
2007-01-18,0.008792789330942078,0.00219819733273552,-0.00219819733273552,Dominguez Lino L.,6.0,0.5,-0.20000000000000007
2007-01-18,0.008060056886696905,0.0007327324442451731,-0.0007327324442451731,Kanepi K.,2.5,0.5,-0.08333333333333337
2007-01-18,0.006332901839547568,0.0017271550471493367,-0.0017271550471493367,Fedossova Y.,8.0,0.5,-0.2142857142857143
2007-01-18,0.005145482744632399,0.001187419094915169,-0.001187419094915169,Radwanska A.,5.0,0.5,-0.1875
2007-01-18,0.004373660332937539,0.0007718224116948599,-0.0007718224116948599,Peng S.,3.5,0.5,-0.15000000000000002
2007-01-18,0.003389586758026593,0.0009840735749109463,-0.0009840735749109463,Rodionova A.,11.0,0.5,-0.22499999999999998
2007-01-18,0.004872530964663228,0.000539252438776958,0.0014829442066366344,Kostanic J.,3.75,0.5,0.4375000000000002
2007-01-19,0.005481597335246131,0.000406044247055269,0.0006090663705829035,Williams S.,2.5,0.5,0.125
2007-01-19,0.004339597890403187,0.001141999444842944,-0.001141999444842944,Azarenka V.,7.0,0.5,-0.20833333333333337
2007-01-19,0.0038746409735742737,0.00046495691682891285,-0.00046495691682891285,Yakimova A.,2.75,0.5,-0.1071428571428572
2007-01-19,0.003121238562045943,0.000753402411528331,-0.000753402411528331,Kirilenko M.,5.5,0.5,-0.19444444444444442
2007-01-19,0.0024059547249104143,0.0007152838371355286,-0.0007152838371355286,Birnerova E.,13.0,0.5,-0.22916666666666663
2007-01-19,0.0019548382139897118,0.00045111651092070266,-0.00045111651092070266,Camerin M.E.,5.0,0.5,-0.1874999999999999
2007-01-19,0.001605759961491549,0.00034907825249816285,-0.00034907825249816285,Srebotnik K.,4.5,0.5,-0.1785714285714286
2007-01-20,0.001248924414493427,0.000356835546998122,-0.000356835546998122,Garbin T.,10.0,0.5,-0.2222222222222222
2007-01-20,0.0009679164212324059,0.00028100799326102107,-0.00028100799326102107,Bondarenko A.,11.0,0.5,-0.22499999999999998
2007-01-20,0.0007605057595397476,0.0002074106616926584,-0.0002074106616926584,Nakamura A.,8.0,0.5,-0.2142857142857142
2007-01-20,0.0008080373695109818,3.802528797698738e-05,4.7531609971234224e-05,Zvonareva V.,2.25,0.5,0.0625
2007-01-20,0.0007214619370633766,8.657543244760518e-05,-8.657543244760518e-05,Molik A.,2.75,0.5,-0.1071428571428571
2007-01-21,0.0006441624438065863,7.729949325679035e-05,-7.729949325679035e-05,Harkleroad A.,2.75,0.5,-0.1071428571428571
